UserID,session_time_seconds,top_banner_image_click,last_minute_deals_click,best_sellers_click,christmas_menu_click,new_releases_click,product_image_click,frequently_bought _together_click,more_items_click,reviews_click,subscribe_save_click,one_time_checkout,add_to_basket,returning_user,purchased,repeat_purchaser
a720-6b732349-a720-4862-bd21-644732,100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
a0c0-6b73247c-a0c0-4bd9-8baa-797356,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86a8-6b735c67-86a8-407b-ba24-333055,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6a3d-6b736346-6a3d-4085-934b-396834,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
b74a-6b737717-b74a-45c3-8c6a-421140,34,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1
b159-6b73a0d6-b159-4728-81a6-914765,7,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
7775-6b73b976-7775-4324-b1d9-622031,43,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0
4135-6b73ba04-4135-4298-8a12-493138,22,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0
a01e-6b73d2dc-a01e-4647-ac4b-940063,11,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0
3816-6b73db7d-3816-4b4b-8b85-315756,24,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
aab0-6b736b29-aab0-4677-9196-338891,32,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0
8976-6b747629-8976-4926-9cb2-715368,44,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0
4b8a-6b74bd36-4b8a-4d10-a008-67143,11,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0
b9d6-6b747d1e-b9d6-403d-a67a-721519,88,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0
1577-6b752478-1577-4345-a883-954497,22,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
6005-6b755dd8-6005-b160-a716-310511,33,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0
9675-6b75c307-9675-41d3-a796-275021,2,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
8c72-6b75dbd0-8c72-b161-90cd-903708,299,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0
3763-6b7641ba-3763-4158-a20a-204093,188,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1
